name,latent_path,original_bytes,zstd_bytes,zstd_then_openzl_bytes,delta_vs_zstd_bytes,saved_vs_original_bytes,original_mb,zstd_mb,zstd_then_openzl_mb,delta_vs_zstd_mb,saved_vs_original_mb,original_mib,zstd_mib,zstd_then_openzl_mib,ratio_original_to_zstd,ratio_original_to_final,delta_vs_zstd_percent,saved_vs_original_percent,original_sha256,restored_sha256,verified_lossless
030_object_class_r02_p043_a_knife,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/030_object_class_r02_p043_a_knife.pt,20953055,19229689,19230169,480,1722886,20.953055,19.229689,19.230169,0.00048,1.722886,19.98239,18.338861,18.339318,1.08962,1.089593,0.002496,8.2226,c7b855d4575cb3304d20db95ee39ee65d95121ebb6bf49064ee21b0894507579,c7b855d4575cb3304d20db95ee39ee65d95121ebb6bf49064ee21b0894507579,True
031_object_class_r03_p054_a_donut,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/031_object_class_r03_p054_a_donut.pt,20953055,19188879,19189359,480,1763696,20.953055,19.188879,19.189359,0.00048,1.763696,19.98239,18.299941,18.300399,1.091937,1.09191,0.002501,8.417369,b85983d27dc9ba4ce7ceefa6009856722f1ddc9deb48682d97080a052112eb6c,b85983d27dc9ba4ce7ceefa6009856722f1ddc9deb48682d97080a052112eb6c,True
032_multiple_objects_r00_p011_a_couch_and_a_potted_plant,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/032_multiple_objects_r00_p011_a_couch_and_a_potted_plant.pt,20953344,19230093,19230573,480,1722771,20.953344,19.230093,19.230573,0.00048,1.722771,19.982666,18.339246,18.339704,1.089612,1.089585,0.002496,8.221938,549f0fe168ee25cd46a2bdea1f20a163d8fc48bd5f8fb2381bab36102a4b36de,549f0fe168ee25cd46a2bdea1f20a163d8fc48bd5f8fb2381bab36102a4b36de,True
033_multiple_objects_r01_p013_a_tv_and_a_laptop,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/033_multiple_objects_r01_p013_a_tv_and_a_laptop.pt,20953153,19221455,19221935,480,1731218,20.953153,19.221455,19.221935,0.00048,1.731218,19.982484,18.331008,18.331466,1.090092,1.090065,0.002497,8.262327,81e4db862a8738a938c64287785d4aa3d100b609ea78ca05042b57b156b9cb1a,81e4db862a8738a938c64287785d4aa3d100b609ea78ca05042b57b156b9cb1a,True
034_multiple_objects_r02_p027_a_teddy_bear_and_a_frisbee,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/034_multiple_objects_r02_p027_a_teddy_bear_and_a_frisbee.pt,20953344,19205562,19206042,480,1747302,20.953344,19.205562,19.206042,0.00048,1.747302,19.982666,18.315851,18.316309,1.091004,1.090977,0.002499,8.339013,f86b6138756626ad0402376670ae9c54ca71b255915c6c1cd775da53e0a7eb70,f86b6138756626ad0402376670ae9c54ca71b255915c6c1cd775da53e0a7eb70,True
035_multiple_objects_r03_p043_a_car_and_a_motorcycle,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/035_multiple_objects_r03_p043_a_car_and_a_motorcycle.pt,20953188,19240740,19241220,480,1711968,20.953188,19.24074,19.24122,0.00048,1.711968,19.982517,18.3494,18.349857,1.089001,1.088974,0.002495,8.170442,4e64e3061f5c9aa471bc3663f55b26f0887276742356556fc9deda2f22f8c0b7,4e64e3061f5c9aa471bc3663f55b26f0887276742356556fc9deda2f22f8c0b7,True
036_human_action_r00_p012_a_person_is_skateboarding,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/036_human_action_r00_p012_a_person_is_skateboarding.pt,20953181,19231792,19232272,480,1720909,20.953181,19.231792,19.232272,0.00048,1.720909,19.982511,18.340866,18.341324,1.089507,1.08948,0.002496,8.213116,b09b3f176e7feb4c7c523b107f5e4cf824e2283cbcad0c796689c55e0ec8a2ce,b09b3f176e7feb4c7c523b107f5e4cf824e2283cbcad0c796689c55e0ec8a2ce,True
037_human_action_r01_p044_a_person_is_planting_trees,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/037_human_action_r01_p044_a_person_is_planting_trees.pt,20953188,19234076,19234556,480,1718632,20.953188,19.234076,19.234556,0.00048,1.718632,19.982517,18.343044,18.343502,1.089378,1.089351,0.002496,8.202246,81f779395f839f85deb4a4c6b41cb29f9191a64d9acbe995f5c596685d3ee381,81f779395f839f85deb4a4c6b41cb29f9191a64d9acbe995f5c596685d3ee381,True
038_human_action_r02_p045_a_person_is_sharpening_knives,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/038_human_action_r02_p045_a_person_is_sharpening_knives.pt,20953337,19314472,19314955,483,1638382,20.953337,19.314472,19.314955,0.000483,1.638382,19.982659,18.419716,18.420177,1.084852,1.084825,0.002501,7.819194,985768a66e8b5e8da408cec4236fefc64ef5971973446851e6b87c9c6a2d3605,985768a66e8b5e8da408cec4236fefc64ef5971973446851e6b87c9c6a2d3605,True
039_human_action_r03_p048_a_person_is_hula_hooping,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/039_human_action_r03_p048_a_person_is_hula_hooping.pt,20953174,19212564,19213044,480,1740130,20.953174,19.212564,19.213044,0.00048,1.74013,19.982504,18.322529,18.322987,1.090597,1.09057,0.002498,8.304852,92de88d3c21f25b6861aaa942c178ea68bed19c2a7278966443a1bd394f52e46,92de88d3c21f25b6861aaa942c178ea68bed19c2a7278966443a1bd394f52e46,True
040_color_r00_p005_a_purple_bicycle,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/040_color_r00_p005_a_purple_bicycle.pt,20953069,19238332,19238812,480,1714257,20.953069,19.238332,19.238812,0.00048,1.714257,19.982404,18.347103,18.347561,1.089131,1.089104,0.002495,8.181412,9de77bf97ee148ade33f11f44a4fb996a3f6de9318e8baa1b4de64c33d105fa1,9de77bf97ee148ade33f11f44a4fb996a3f6de9318e8baa1b4de64c33d105fa1,True
041_color_r01_p033_a_blue_umbrella,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/041_color_r01_p033_a_blue_umbrella.pt,20953062,19138406,19138886,480,1814176,20.953062,19.138406,19.138886,0.00048,1.814176,19.982397,18.251806,18.252264,1.094818,1.09479,0.002508,8.658286,e6423b290e56e19bba811aab512b4de03622bd986a1cf8678098f05770a63882,e6423b290e56e19bba811aab512b4de03622bd986a1cf8678098f05770a63882,True
042_color_r02_p058_a_red_chair,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/042_color_r02_p058_a_red_chair.pt,20953034,19247158,19247638,480,1705396,20.953034,19.247158,19.247638,0.00048,1.705396,19.98237,18.35552,18.355978,1.08863,1.088603,0.002494,8.139136,a8c907f5359282a3d85d51ab8d9214151fda4d5865f1548e457353c2c5abe9f7,a8c907f5359282a3d85d51ab8d9214151fda4d5865f1548e457353c2c5abe9f7,True
043_color_r03_p077_a_green_vase,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/043_color_r03_p077_a_green_vase.pt,20953041,19142483,19142963,480,1810078,20.953041,19.142483,19.142963,0.00048,1.810078,19.982377,18.255694,18.256152,1.094583,1.094556,0.002508,8.638736,085f128442a0f5331d7c257a6367962c6807372b358e68ea555aa1fd2e5b3cfb,085f128442a0f5331d7c257a6367962c6807372b358e68ea555aa1fd2e5b3cfb,True
044_spatial_relationship_r00_p010_a_bird_on_the_left_of_a_cat_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/044_spatial_relationship_r00_p010_a_bird_on_the_left_of_a_cat_front_view.pt,20953712,19228674,19229154,480,1724558,20.953712,19.228674,19.229154,0.00048,1.724558,19.983017,18.337893,18.33835,1.089712,1.089685,0.002496,8.230322,2ed896efdfd6f43e8a9b4d2808dfe883e16dc1df94601aa54c231d7300d1e22c,2ed896efdfd6f43e8a9b4d2808dfe883e16dc1df94601aa54c231d7300d1e22c,True
045_spatial_relationship_r01_p015_a_cow_on_the_right_of_an_elephant_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/045_spatial_relationship_r01_p015_a_cow_on_the_right_of_an_elephant_front_view.pt,20953754,19205867,19206347,480,1747407,20.953754,19.205867,19.206347,0.00048,1.747407,19.983057,18.316142,18.3166,1.091008,1.090981,0.002499,8.339351,cbfadfc03dae4d4348493276c052d05f979c1bf4f9e89eaa24c028ae0d0b0796,cbfadfc03dae4d4348493276c052d05f979c1bf4f9e89eaa24c028ae0d0b0796,True
046_spatial_relationship_r02_p048_a_train_on_the_right_of_a_boat_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/046_spatial_relationship_r02_p048_a_train_on_the_right_of_a_boat_front_view.pt,20953733,19203674,19204154,480,1749579,20.953733,19.203674,19.204154,0.00048,1.749579,19.983037,18.314051,18.314508,1.091131,1.091104,0.0025,8.349725,fc57929e8ef03d6f466a818213fe3d8adc434a82a09440cda001361b88039c4b,fc57929e8ef03d6f466a818213fe3d8adc434a82a09440cda001361b88039c4b,True
047_spatial_relationship_r03_p068_a_pizza_on_the_top_of_a_donut_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/047_spatial_relationship_r03_p068_a_pizza_on_the_top_of_a_donut_front_view.pt,20953726,19154367,19154847,480,1798879,20.953726,19.154367,19.154847,0.00048,1.798879,19.98303,18.267028,18.267486,1.09394,1.093912,0.002506,8.585008,c7df662616d1e9564ddb3def62c9d382a75d32c182a0e3b4fbee9e4da6fc5a3d,c7df662616d1e9564ddb3def62c9d382a75d32c182a0e3b4fbee9e4da6fc5a3d,True
